Players,IPL_Team_Name,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
V Kohli,RCB,2024-2024,11,11,3,542,113*,67.75,366,148.08,1,4,0,48,24
RD Gaikwad,CSK,2024-2024,11,11,2,541,108*,60.11,368,147.01,1,4,0,57,16
TM Head,SRH,2024-2024,11,11,1,533,102,53.3,264,201.89,1,4,0,61,31
SV Samson,RR,2024-2024,11,11,4,471,86,67.28,288,163.54,0,5,1,44,23
SP Narine,KKR,2024-2024,11,11,0,461,109,41.9,251,183.66,1,3,0,46,32
KL Rahul,LSG,2024-2024,12,12,0,460,82,38.33,338,136.09,0,3,0,41,16
R Parag,RR,2024-2024,11,10,2,436,84*,54.5,279,156.27,0,4,0,31,28
PD Salt,KKR,2024-2024,11,11,1,429,89*,42.9,234,183.33,0,4,1,50,23
B Sai Sudharsan,GT,2024-2024,11,11,1,424,84*,42.4,322,131.67,0,2,0,43,9
RR Pant,DC,2024-2024,12,12,2,413,88*,41.3,264,156.43,0,3,0,31,25
Abhishek Sharma,SRH,2024-2024,12,12,1,401,75*,36.45,195,205.64,0,2,0,30,35
NT Tilak Varma,MI,2024-2024,12,12,3,384,65,42.66,261,147.12,0,3,0,30,18
N Pooran,LSG,2024-2024,12,12,6,363,64*,60.5,224,162.05,0,1,1,24,24
MP Stoinis,LSG,2024-2024,12,12,2,355,124*,35.5,234,151.7,1,2,1,33,16
F du Plessis,RCB,2024-2024,11,11,0,352,64,32,204,172.54,0,3,0,39,17
S Dube,CSK,2024-2024,11,11,3,350,66*,43.75,205,170.73,0,3,2,24,26
H Klaasen,SRH,2024-2024,12,11,3,339,80*,42.37,182,186.26,0,3,0,12,31
JC Buttler,RR,2024-2024,10,10,2,338,107*,42.25,230,146.95,2,0,1,34,12
SA Yadav,MI,2024-2024,9,9,1,334,102*,41.75,189,176.71,1,3,2,35,18
RG Sharma,MI,2024-2024,12,12,1,330,105*,30,216,152.77,1,0,1,34,19
Shubman Gill,GT,2024-2024,11,11,1,322,89*,32.2,234,137.6,0,2,0,28,9
YBK Jaiswal,RR,2024-2024,11,11,1,320,104*,32,203,157.63,1,1,1,38,12
T Stubbs,DC,2024-2024,12,11,5,318,71*,53,169,188.16,0,2,1,21,22
Shashank Singh,PBKS,2024-2024,11,11,6,315,68*,63,190,165.78,0,2,1,24,19
J Fraser-McGurk,DC,2024-2024,7,7,0,309,84,44.14,131,235.87,0,4,0,30,26
KD Karthik,RCB,2024-2024,11,9,4,283,83,56.6,146,193.83,0,2,0,24,19
SS Iyer,KKR,2024-2024,11,11,3,280,50,35,202,138.61,0,1,1,27,10
Abishek Porel,DC,2024-2024,12,10,2,267,65,33.37,169,157.98,0,1,1,31,9
Ishan Kishan,MI,2024-2024,12,12,0,266,69,22.16,178,149.43,0,1,2,29,14
JM Bairstow,PBKS,2024-2024,9,9,1,257,108*,32.12,157,163.69,1,0,1,28,13
Prabhsimran Singh,PBKS,2024-2024,11,11,0,251,54,22.81,160,156.87,0,1,1,25,16
TH David,MI,2024-2024,12,10,3,241,45*,34.42,149,161.74,0,0,0,14,15
K Nitish Kumar Reddy,SRH,2024-2024,9,7,2,239,76*,47.8,157,152.22,0,2,0,12,17
Q de Kock,LSG,2024-2024,10,10,0,238,81,23.8,178,133.7,0,3,1,27,9
DJ Mitchell,CSK,2024-2024,10,10,2,229,52,28.62,170,134.7,0,1,0,16,7
VR Iyer,KKR,2024-2024,11,10,3,225,70,32.14,158,142.4,0,2,0,20,10
RM Patidar,RCB,2024-2024,11,9,0,213,52,23.66,123,173.17,0,3,1,11,18
AM Rahane,CSK,2024-2024,11,10,0,208,45,20.8,169,123.07,0,0,0,20,6
A Badoni,LSG,2024-2024,12,10,3,207,55*,29.57,152,136.18,0,2,1,21,3
RA Jadeja,CSK,2024-2024,11,8,4,202,57*,50.5,149,135.57,0,1,0,17,4
AK Markram,SRH,2024-2024,9,9,2,199,50,28.42,152,130.92,0,1,1,15,4
AD Russell,KKR,2024-2024,11,8,2,198,64*,33,106,186.79,0,1,0,18,14
PP Shaw,DC,2024-2024,8,8,0,198,66,24.75,121,163.63,0,1,0,30,5
