Players,IPL_Team_Name,Span,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
JJ Bumrah,MI,2024-2024,12,12,287,47.5,0,297,18,5/21,16.5,6.2,15.94,0,1
HV Patel,PBKS,2024-2024,11,11,222,37,0,362,17,3/15,21.29,9.78,13.05,0,0
CV Varun,KKR,2024-2024,11,11,240,40,0,350,16,3/16,21.87,8.75,15,0,0
Mukesh Kumar,DC,2024-2024,8,8,171,28.3,0,312,15,3/14,20.8,10.94,11.4,0,0
T Natarajan,SRH,2024-2024,10,10,236,39.2,1,368,15,4/19,24.53,9.35,15.73,1,0
Arshdeep Singh,PBKS,2024-2024,11,11,236,39.2,0,396,15,4/29,26.4,10.06,15.73,1,0
Kuldeep Yadav,DC,2024-2024,9,9,210,35,0,287,14,4/55,20.5,8.2,15,1,0
SP Narine,KKR,2024-2024,11,11,264,44,0,291,14,2/22,20.78,6.61,18.85,0,0
Harshit Rana,KKR,2024-2024,9,8,187,31.1,0,298,14,3/24,21.28,9.56,13.35,0,0
Mustafizur Rahman,CSK,2024-2024,9,9,206,34.2,1,318,14,4/29,22.71,9.26,14.71,1,0
YS Chahal,RR,2024-2024,11,11,252,42,0,416,14,3/11,29.71,9.9,18,0,0
KK Ahmed,DC,2024-2024,12,12,264,44,2,426,14,2/21,30.42,9.68,18.85,0,0
PJ Cummins,SRH,2024-2024,12,12,288,48,1,444,14,3/43,31.71,9.25,20.57,0,0
M Pathirana,CSK,2024-2024,6,6,132,22,0,169,13,4/28,13,7.68,10.15,1,0
AD Russell,KKR,2024-2024,11,11,134,22.2,0,227,13,3/25,17.46,10.16,10.3,0,0
G Coetzee,MI,2024-2024,10,10,201,33.3,0,341,13,4/34,26.23,10.17,15.46,1,0
SM Curran,PBKS,2024-2024,11,11,210,35,0,342,13,3/28,26.3,9.77,16.15,0,0
TU Deshpande,CSK,2024-2024,10,10,216,36,0,312,12,4/27,26,8.66,18,1,0
MA Starc,KKR,2024-2024,10,10,203,33.5,0,385,12,4/33,32.08,11.37,16.91,1,0
HH Pandya,MI,2024-2024,12,10,186,31,0,328,11,3/31,29.81,10.58,16.9,0,0
TA Boult,RR,2024-2024,11,11,240,40,0,331,11,3/22,30.09,8.27,21.81,0,0
K Rabada,PBKS,2024-2024,11,11,252,42,0,372,11,2/18,33.81,8.85,22.9,0,0
Yash Thakur,LSG,2024-2024,10,10,213,35.3,1,402,11,5/30,36.54,11.32,19.36,0,1
B Kumar,SRH,2024-2024,12,12,270,45,2,411,11,3/41,37.36,9.13,24.54,0,0
Avesh Khan,RR,2024-2024,11,11,246,41,0,415,11,2/34,37.72,10.12,22.36,0,0
Sandeep Sharma,RR,2024-2024,6,6,138,23,0,180,10,5/18,18,7.82,13.8,0,1
Naveen-ul-Haq,LSG,2024-2024,8,8,171,28.3,0,271,10,3/49,27.1,9.5,17.1,0,0
AR Patel,DC,2024-2024,12,12,240,40,0,293,10,2/25,29.3,7.32,24,0,0
Yash Dayal,RCB,2024-2024,10,10,228,38,0,338,10,2/21,33.8,8.89,22.8,0,0
MM Sharma,GT,2024-2024,11,10,210,35,0,394,10,3/25,39.4,11.25,21,0,0
VG Arora,KKR,2024-2024,7,7,138,23,0,219,9,3/27,24.33,9.52,15.33,0,0
Mohsin Khan,LSG,2024-2024,8,8,180,30,0,311,9,2/29,34.55,10.36,20,0,0
RD Chahar,PBKS,2024-2024,6,6,120,20,0,163,8,3/23,20.37,8.15,15,0,0
PP Chawla,MI,2024-2024,9,9,168,28,0,255,8,3/33,31.87,9.1,21,0,0
M Markande,SRH,2024-2024,7,7,132,22,0,259,8,2/26,32.37,11.77,16.5,0,0
Noor Ahmad,GT,2024-2024,9,9,197,32.5,0,265,8,2/20,33.12,8.07,24.62,0,0
RA Jadeja,CSK,2024-2024,11,11,228,38,0,276,8,3/18,34.5,7.26,28.5,0,0
JD Unadkat,SRH,2024-2024,9,9,175,29.1,0,305,8,3/30,38.12,10.45,21.87,0,0
Rashid Khan,GT,2024-2024,11,11,238,39.4,0,329,8,2/49,41.12,8.29,29.75,0,0
Mohammed Siraj,RCB,2024-2024,10,10,228,38,0,352,8,2/26,44,9.26,28.5,0,0
MP Yadav,LSG,2024-2024,4,4,73,12.1,0,85,7,3/14,12.14,6.98,10.42,0,0
R Sai Kishore,GT,2024-2024,5,5,90,15,0,137,7,4/33,19.57,9.13,12.85,1,0
UT Yadav,GT,2024-2024,6,6,108,18,0,190,7,2/22,27.14,10.55,15.42,0,0
Rasikh Salam,DC,2024-2024,6,6,111,18.3,0,216,7,3/34,30.85,11.67,15.85,0,0
C Green,RCB,2024-2024,9,9,145,24.1,0,222,7,2/12,31.71,9.18,20.71,0,0
A Nortje,DC,2024-2024,6,6,132,22,0,294,7,3/59,42,13.36,18.85,0,0
Ravi Bishnoi,LSG,2024-2024,12,12,214,35.4,0,320,7,2/25,45.71,8.97,30.57,0,0
KR Sen,RR,2024-2024,3,3,72,12,0,122,6,3/41,20.33,10.16,12,0,0
N Burger,RR,2024-2024,4,4,84,14,0,124,6,2/29,20.66,8.85,14,0,0
I Sharma,DC,2024-2024,7,7,120,20,0,200,6,2/8,33.33,10,20,0,0
Harpreet Brar,PBKS,2024-2024,11,11,204,34,0,257,6,2/13,42.83,7.55,34,0,0
S Sandeep Warrier,GT,2024-2024,4,4,48,8,0,91,5,3/15,18.2,11.37,9.6,0,0
GJ Maxwell,RCB,2024-2024,8,5,72,12,0,104,5,2/23,20.8,8.66,14.4,0,0
DL Chahar,CSK,2024-2024,8,8,141,23.3,0,202,5,2/28,40.4,8.59,28.2,0,0
A Madhwal,MI,2024-2024,5,5,109,18.1,0,205,5,3/20,41,11.28,21.8,0,0
KH Pandya,LSG,2024-2024,12,10,162,27,0,206,5,3/11,41.2,7.62,32.4,0,0
R Ashwin,RR,2024-2024,10,10,234,39,0,339,5,3/24,67.8,8.69,46.8,0,0
JB Little,GT,2024-2024,1,1,24,4,0,45,4,4/45,11.25,11.25,6,1,0
MP Stoinis,LSG,2024-2024,12,7,84,14,0,126,4,1/3,31.5,9,21,0,0
