Player_Name,Country
Rashid Khan,AFG
Rahmanullah Gurbaz,AFG
Ibrahim Zadran,AFG
Azmatullah Omarzai,AFG
Najibullah Zadran,AFG
Mohammad Ishaq,AFG
Mohammad Nabi,AFG
Gulbadin Naib,AFG
Karim Janat,AFG
Nangyal Kharoti,AFG
Mujeeb Ur,AFG
Noor Ahmad,AFG
Naveen-ul-Haq,AFG
Fazalhaq Farooqi,AFG
Fareed Ahmad,AFG
MR Marsh,AUS
Ashton Agar,AUS
PJ Cummins,AUS
TH David,AUS
Nathan Ellis,AUS
C Green,AUS
Josh Hazlewood,AUS
TM Head,AUS
Josh Inglis,AUS
GJ Maxwell,AUS
MA Starc,AUS
MP Stoinis,AUS
MS Wade,AUS
DA Warner,AUS
Adam Zampa,AUS
JC Buttler,ENG
MM Ali,ENG
Jofra Archer,ENG
JM Bairstow,ENG
Harry Brook,ENG
SM Curran,ENG
Ben Duckett,ENG
Tom Hartley,ENG
WG Jacks,ENG
Chris Jordan,ENG
LS Livingstone,ENG
Adil Rashid,ENG
PD Salt,ENG
RJW Topley,ENG
Mark Wood,ENG
RG Sharma,IND
HH Pandya,IND
YBK Jaiswal,IND
V Kohli,IND
Kuldeep Yadav,IND
RR Pant,IND
SV Samson,IND
SB Dubey,IND
RA Jadeja,IND
AR Patel,IND
SA Yadav,IND
YS Chahal,IND
Arshdeep Singh,IND
JJ Bumrah,IND
Mohammed Siraj,IND
Paul Stirling,IRE
Mark Adair,IRE
Ross Adair,IRE
Andrew Balbirnie,IRE
Curtis Campher,IRE
Gareth Delany,IRE
George Dockrell,IRE
Graham Hume,IRE
JB Little,IRE
Barry McCarthy,IRE
Neil Rock,IRE
Harry Tector,IRE
Lorcan Tucker,IRE
Ben White,IRE
Craig Young,IRE
Rohit Paudel,NEP
Aasif Sheikh,NEP
Anil Kumar,NEP
Kushal Bhurtel,NEP
Kushal Malla,NEP
Dipendra Singh,NEP
Lalit Rajbanshi,NEP
Karan KC,KC
Gulshan Jha,NEP
Sompal Kami,NEP
Pratis GC,GC
Sundeep Jora,NEP
Abinash Bohara,NEP
Sagar Dhakal,NEP
Kamal Singh,NEP
KS Williamson,NZ
Finn Allen,NZ
TA Boult,NZ
Michael Bracewell,NZ
Mark Chapman,NZ
Devon Conway,NZ
LH Ferguson,NZ
MJ Henry,NZ
DJ Mitchell,NZ
Jimmy Neesham,NZ
Glenn Phillips,NZ
R Ravindra,NZ
MJ Santner,NZ
Ish Sodhi,NZ
Tim Southee,NZ
Richie Berrington,SCOT
Matthew Cross,SCOT
Brad Currie,SCOT
Chris Greaves,SCOT
Oli Hairs,SCOT
Jack Jarvis,SCOT
Michael Jones,SCOT
Michael Leask,SCOT
Brandon McMullen,SCOT
George Munsey,SCOT
Safyaan Sharif,SCOT
Chris Sole,SCOT
Charlie Tear,SCOT
Mark Watt,SCOT
Brad Wheal,SCOT
AK Markram,SA
Ottniel Baartman,SA
G Coetzee,SA
Q de Kock,SA
Bjorn Fortuin,SA
Reeza Hendricks,SA
M Jansen,SA
H Klaasen,SA
KA Maharaj,SA
DA Miller,SA
A Nortje,SA
K Rabada,SA
Ryan Rickelton,SA
Tabraiz Shamsi,SA
T Stubbs,SA
R Powell,WI
AS Joseph,WI
Johnson Charles,WI
Roston Chase,WI
SO Hetmyer,WI
Jason Holder,WI
SD Hope,WI
Akeal Hosein,WI
Shamar Joseph,WI
Brandon King,WI
Gudakesh Motie,WI
N Pooran,WI
AD Russell,WI
Sherfane Rutherford,WI
R Shepherd,WI
